channelId,keyword
UC2ArKq3GKdiA6ufRwE2NytQ,gaming
UC3S6nIDGJ5OtpC-mbvFA8Ew,gaming
UCNoiWmvkDUL0q-6ECxNFH0Q,gaming
UCnQ4TDbESxZ47uBH6cB_Nrg,gaming
UCo_IB5145EVNcf8hw1Kku7w,gaming
UCvmTVIw2ZCJg49XHR0OoSAg,gaming
UC97XthQ7oIOfAWIGPoyFDYQ,gaming
UC5S0zPiz9-zZJ6WTV3YfE9w,gaming
UCUEBwthcpWBTQXscn8bpS6Q,gaming
UCXaFhaxwH3ASTgwwKL4Kt2Q,gaming
UCATWC1JSlhzmYeDbjnS8WwA,gaming
UCbuhrs2MVHtt_iyGtfwWlxA,gaming
UCNL6sUET_O5MYNqESOIIBpw,gaming
UCtSP1OA6jO4quIGLae7Fb4g,gaming
UCcV7uqrrMUF3njRuo5WMFwA,gaming
UC1R3yteq3HoSUIHQ7hp65XQ,gaming
UCFBapHA35loZ3KZwT_z3BsQ,gaming
UCDBCCMlFD-hArPbWv38FINA,gaming
UCYQ8oHPbnZ1sLBjiCSdP8ZQ,gaming
UCv4nV-5vaqKvtLj8IUEwd9A,gaming
UCYGP_xER6wvSvWyk4CNOGNQ,gaming
UCGo-tjf3PYvapeSCtP0rJEA,gaming
UCuoChnnMFW_eD0xFGBXewxA,gaming
UCcUx57h8_raPvjJ1JPriJIQ,gaming
UCwGJSGqTaFPNTtRmn_daz4Q,gaming
UCGGF6J6IUgB_K2_y2Rwh2Cw,gaming
UC9PD3EIAA-vtGLZgYXG3q0A,gaming
UCvwd8ip8psK850ocD-Re3Fg,gaming
UCzOOj0KTSVUWVHswnP4W6nw,gaming
UCFx8S2YX4DFTYicIOV5PQag,gaming
UCpfXVjy3p5qfR_7EoKpQirQ,gaming
UCc3Sb5CGunxWqF5BSkJI3iA,gaming
UCwSPpHFbgl2MRlzmALTcvzg,food
UCdegm7Y2AePJhkkmWCyYEwg,food
UC93iVjVDI3-XvHmtpNslMrw,food
UCh2D2ss44sKdb6l7iGU7eLg,food
UCwiTOchWeKjrJZw7S1H__1g,food
UCcAd5Np7fO8SeejB1FVKcYw,food
UC1VkNUPA6ieOuwXmk4SSJZw,food
UCfE5Cz44GlZVyoaYTHJbuZw,food
UC8Y-jrV8oR3s2Ix4viDkZtA,food
UC-Lq6oBPTgTXT_K-ylWL6hg,food
UCTmEgdYwAsORjFx6GRaLWtw,food
UCBSwcEOp0PMwhvE6FVjgITw,food
UCe2JAC5FUfbxLCfAvBWmNJA,food
UCdupQvA3NlGfyaPaZKWSgTA,food
UCPQErRghCrtrbWOYiJA3okw,food
UCCyR9oAyHGSvZnYoGv3Qu1Q,food
UCbgYZnybgb6vPSBTxZUT2kA,food
UCdz7HcTQOaHCoAEJBs-MlNQ,food
UCHUn2GT4DD2vM9QB0vTUmWg,food
UClU1_8hUFeixVByX_MG5pMg,food
UCzyN_JSs95aDgDFrfOxagEw,food
UCxwXbvlHDz0pU1R_M2eL4vw,food
UCfyehHM_eo4g5JUyWmms2LA,food
UCNaq5Jh4SQ1oBAjhQ0KPhoA,food
UCYKOVifkVGku5nojWU_Uc5g,food
UCRIZtPl9nb9RiXc9btSTQNw,food
UCwVIj-OqEjXNqKpItChRrMQ,food
UCJVYeaSDLbmzRWTYMdHLoOg,food
UC-j7LP4at37y3uNTdWLq-vQ,food
UCa0W6oFfZZjg6cnCks39THg,food
UCMRWL27r9gxG7wYEj-H7X9w,food
