channelId,title,viewCount,subscriberCount,videoCount
UCOM96DQ5RLFln-yGsp29l1A,Grace J Art,18459277,240000,156
UCZJrzCWI7L2oGl26n4zvSNQ,NAMIL ART,20103125,163000,1735
UC1m_wJF-qJ_VnPQKNahOmjQ,Tonni art and craft,9387254725,19100000,1806
UCzzCo7lZGJ-sTCgpI7BJKEg,Let's Make Art,22186735,239000,1310
UC-K2dAF6o-4grg_HpUVNJVQ,Mukta Art & Craft,2937197587,7330000,1902
UCErX4CQeesrYOs03fufBiHQ,Ventuno Art,264075360,1480000,3175
UCRH4YWhFhLYuHBcx-9Lg14w,Milan Art Institute,6417125,124000,217
UCYXRubrOzFv3oHT4M2RLq2Q,Art Land,234037248,637000,2744
UC0lLeNdvLrFozQRsQ1TQiAw,The Art of Aaron Blaise,45596289,1250000,830
UCjkGAyhG0Q6H4_gzdfTMg-g,Joony art,145297057,1150000,1466
UCgoZdnwxQzre7zjApoBl7og,Lachri Fine Art,28298544,350000,945
UCytynWlABGhkN_BboM5mHBg,Art Ninja Official,2615389,24600,71
UCIZEjA3Mp23QE53w2i3KAbw,Easy Art,640676920,3170000,1864
UCdZutxI1UnH9N3Fh_TeQ4Kw,Wow Art,599109629,3890000,445
UCtoIqaAuvP6rWCvFOdxKVpA,Chloe Art,331569320,1500000,1161
UCCPqEyMiKunljLC7VcvSybg,「アートと出会う」現代アート専門番組【MEET YOUR ART】,7442813,84300,779
UCcPwxSPBVQFFPzrhFeOOAHg,Sergio Aranda ART,13952598,142000,294
UCCle2a6He6XL06CzgySppuA,Y.V.N Art,63268359,718000,419
